pose_id,pose_name,pose_family,stl_file,bone_coordinates_csv,mask_file,mask_shape,mask_dtype,mask_nonzero_voxels,stl_size_bytes,mask_size_bytes
1,pose_arm_90.0deg_5.0inward,both_arm_or_forearm_sweep,poses/1.stl,poses/1.csv,numpy_masks_poses/1_mask.npy,63x184x85,float32,165304,4082334,3941408
2,pose_arm_87.8deg_3.9inward,both_arm_or_forearm_sweep,poses/2.stl,poses/2.csv,numpy_masks_poses/2_mask.npy,63x184x85,float32,155205,4082334,3941408
3,pose_arm_85.6deg_2.8inward,both_arm_or_forearm_sweep,poses/3.stl,poses/3.csv,numpy_masks_poses/3_mask.npy,63x184x85,float32,145413,4082334,3941408
4,pose_arm_83.3deg_1.7inward,both_arm_or_forearm_sweep,poses/4.stl,poses/4.csv,numpy_masks_poses/4_mask.npy,63x184x85,float32,136664,4082334,3941408
5,pose_arm_81.1deg_0.6inward,both_arm_or_forearm_sweep,poses/5.stl,poses/5.csv,numpy_masks_poses/5_mask.npy,63x184x85,float32,130736,4082334,3941408
6,pose_arm_78.9deg_-0.6inward,both_arm_or_forearm_sweep,poses/6.stl,poses/6.csv,numpy_masks_poses/6_mask.npy,63x184x85,float32,122201,4082334,3941408
7,pose_arm_76.7deg_-1.7inward,both_arm_or_forearm_sweep,poses/7.stl,poses/7.csv,numpy_masks_poses/7_mask.npy,63x184x85,float32,118807,4082334,3941408
8,pose_arm_74.4deg_-2.8inward,both_arm_or_forearm_sweep,poses/8.stl,poses/8.csv,numpy_masks_poses/8_mask.npy,63x184x85,float32,112204,4082334,3941408
9,pose_arm_72.2deg_-3.9inward,both_arm_or_forearm_sweep,poses/9.stl,poses/9.csv,numpy_masks_poses/9_mask.npy,63x184x85,float32,106083,4082334,3941408
10,pose_arm_70.0deg_-5.0inward,both_arm_or_forearm_sweep,poses/10.stl,poses/10.csv,numpy_masks_poses/10_mask.npy,63x184x85,float32,103668,4082334,3941408
11,pose_arm_0.0deg,both_arm_or_forearm_sweep,poses/11.stl,poses/11.csv,numpy_masks_poses/11_mask.npy,63x184x85,float32,104543,4082334,3941408
12,pose_arm_3.3deg,both_arm_or_forearm_sweep,poses/12.stl,poses/12.csv,numpy_masks_poses/12_mask.npy,63x184x85,float32,104615,4082334,3941408
13,pose_arm_6.7deg,both_arm_or_forearm_sweep,poses/13.stl,poses/13.csv,numpy_masks_poses/13_mask.npy,63x184x85,float32,106157,4082334,3941408
14,pose_arm_10.0deg,both_arm_or_forearm_sweep,poses/14.stl,poses/14.csv,numpy_masks_poses/14_mask.npy,63x184x85,float32,106262,4082334,3941408
